name,cbs_code,province,found,slug,url,final_url,title,status,reason,candidates_tried
Dijk en Waard,1980,Noord-Holland,True,dijkenwaard,https://dijkenwaard.incijfers.nl/Dashboard,https://dijkenwaard.incijfers.nl/Dashboard,Dijk en Waard in Cijfers - Dijk en Waard,200,ok,dijk-en-waard dijkenwaard
Drechterland,0498,Noord-Holland,False,drechterland,https://drechterland.incijfers.nl/Dashboard,https://drechterland.incijfers.nl/dashboard/AvailableDomains.aspx,Gemeente in Cijfers,200,available_domains,drechterland
Edam-Volendam,0385,Noord-Holland,False,edam,https://edam.incijfers.nl/Dashboard,https://edam.incijfers.nl/dashboard/AvailableDomains.aspx,Gemeente in Cijfers,200,available_domains,edam-volendam edamvolendam edam
Enkhuizen,0388,Noord-Holland,False,enkhuizen,https://enkhuizen.incijfers.nl/Dashboard,https://enkhuizen.incijfers.nl/dashboard/AvailableDomains.aspx,Gemeente in Cijfers,200,available_domains,enkhuizen
Gooise Meren,1942,Noord-Holland,True,gooisemeren,https://gooisemeren.incijfers.nl/Dashboard,https://gooisemeren.incijfers.nl/Dashboard,Gooise Meren in Cijfers - Gooise Meren,200,ok,gooise-meren gooisemeren
Haarlem,0392,Noord-Holland,False,haarlem,https://haarlem.incijfers.nl/Dashboard,https://haarlem.incijfers.nl/mosaic/haarlem-in-cijfers---dashboard,Haarlem in cijfers - Dashboard - Centrum,200,not_dashboard,haarlem
Haarlemmermeer,0394,Noord-Holland,False,haarlemmermeer,https://haarlemmermeer.incijfers.nl/Dashboard,https://haarlemmermeer.incijfers.nl/dashboard/AvailableDomains.aspx,Gemeente in Cijfers,200,available_domains,haarlemmermeer
Heemskerk,0396,Noord-Holland,True,heemskerk,https://heemskerk.incijfers.nl/Dashboard,https://ijmond.incijfers.nl/dashboard?regionlevel=gemeente&regioncode=396,IJmond in Cijfers - Beverwijk,200,ok,heemskerk
Heemstede,0397,Noord-Holland,False,heemstede,https://heemstede.incijfers.nl/Dashboard,https://heemstede.incijfers.nl/dashboard/AvailableDomains.aspx,Gemeente in Cijfers,200,available_domains,heemstede
Heiloo,0399,Noord-Holland,False,heiloo,https://heiloo.incijfers.nl/Dashboard,https://heiloo.incijfers.nl/dashboard/AvailableDomains.aspx,Gemeente in Cijfers,200,available_domains,heiloo
Hilversum,0402,Noord-Holland,True,hilversum,https://hilversum.incijfers.nl/Dashboard,https://hilversum.incijfers.nl/Dashboard,Hilversum in Cijfers - Hilversum,200,ok,hilversum
Hollands Kroon,1911,Noord-Holland,True,hollandskroon,https://hollandskroon.incijfers.nl/Dashboard,https://hollandskroon.incijfers.nl/Dashboard,Hollands Kroon in Cijfers - Hollands Kroon,200,ok,hollands-kroon hollandskroon
Hoorn,0405,Noord-Holland,False,hoorn,https://hoorn.incijfers.nl/Dashboard,https://hoorn.incijfers.nl/dashboard/AvailableDomains.aspx,Gemeente in Cijfers,200,available_domains,hoorn
Huizen,0406,Noord-Holland,False,huizen,https://huizen.incijfers.nl/Dashboard,https://huizen.incijfers.nl/dashboard/AvailableDomains.aspx,Gemeente in Cijfers,200,available_domains,huizen
Koggenland,1598,Noord-Holland,False,koggenland,https://koggenland.incijfers.nl/Dashboard,https://koggenland.incijfers.nl/dashboard/AvailableDomains.aspx,Gemeente in Cijfers,200,available_domains,koggenland
Landsmeer,0415,Noord-Holland,False,landsmeer,https://landsmeer.incijfers.nl/Dashboard,https://landsmeer.incijfers.nl/dashboard/AvailableDomains.aspx,Gemeente in Cijfers,200,available_domains,landsmeer
Laren,0417,Noord-Holland,False,laren,https://laren.incijfers.nl/Dashboard,https://laren.incijfers.nl/dashboard/AvailableDomains.aspx,Gemeente in Cijfers,200,available_domains,laren
Medemblik,0420,Noord-Holland,False,medemblik,https://medemblik.incijfers.nl/Dashboard,https://medemblik.incijfers.nl/dashboard/AvailableDomains.aspx,Gemeente in Cijfers,200,available_domains,medemblik
Oostzaan,0431,Noord-Holland,False,oostzaan,https://oostzaan.incijfers.nl/Dashboard,https://oostzaan.incijfers.nl/dashboard/AvailableDomains.aspx,Gemeente in Cijfers,200,available_domains,oostzaan
Opmeer,0432,Noord-Holland,False,opmeer,https://opmeer.incijfers.nl/Dashboard,https://opmeer.incijfers.nl/dashboard/AvailableDomains.aspx,Gemeente in Cijfers,200,available_domains,opmeer
Ouder-Amstel,0437,Noord-Holland,False,ouder,https://ouder.incijfers.nl/Dashboard,https://ouder.incijfers.nl/dashboard/AvailableDomains.aspx,Gemeente in Cijfers,200,available_domains,ouder-amstel ouderamstel ouder
Purmerend,0439,Noord-Holland,False,purmerend,https://purmerend.incijfers.nl/Dashboard,https://purmerend.incijfers.nl/mosaic/mosaic,Mosaic - Gemeente Purmerend,200,not_dashboard,purmerend
Schagen,0441,Noord-Holland,True,schagen,https://schagen.incijfers.nl/Dashboard,https://schagen.incijfers.nl/Dashboard,Schagen in Cijfers - Gemeente Schagen,200,ok,schagen
Stede Broec,0532,Noord-Holland,False,stede,https://stede.incijfers.nl/Dashboard,https://stede.incijfers.nl/dashboard/AvailableDomains.aspx,Gemeente in Cijfers,200,available_domains,stede-broec stedebroec stede
Texel,0448,Noord-Holland,True,texel,https://texel.incijfers.nl/Dashboard,https://texel.incijfers.nl/Dashboard,Texel in Cijfers - Gemeente Texel,200,ok,texel
Uitgeest,0450,Noord-Holland,False,uitgeest,https://uitgeest.incijfers.nl/Dashboard,https://uitgeest.incijfers.nl/dashboard/AvailableDomains.aspx,Gemeente in Cijfers,200,available_domains,uitgeest
Uithoorn,0451,Noord-Holland,False,uithoorn,https://uithoorn.incijfers.nl/Dashboard,https://uithoorn.incijfers.nl/dashboard/AvailableDomains.aspx,Gemeente in Cijfers,200,available_domains,uithoorn
Velsen,0453,Noord-Holland,False,velsen,https://velsen.incijfers.nl/Dashboard,https://velsen.incijfers.nl/dashboard/wijkmonitor-leefbaarheid,Wijkmonitor Leefbaarheid - Velsen-Zuid en Driehuis (0),200,not_dashboard,velsen
Waterland,0852,Noord-Holland,False,waterland,https://waterland.incijfers.nl/Dashboard,https://waterland.incijfers.nl/dashboard/AvailableDomains.aspx,Gemeente in Cijfers,200,available_domains,waterland
Wijdemeren,1696,Noord-Holland,False,wijdemeren,https://wijdemeren.incijfers.nl/Dashboard,https://wijdemeren.incijfers.nl/dashboard/AvailableDomains.aspx,Gemeente in Cijfers,200,available_domains,wijdemeren
Wormerland,0880,Noord-Holland,False,wormerland,https://wormerland.incijfers.nl/Dashboard,https://wormerland.incijfers.nl/dashboard/AvailableDomains.aspx,Gemeente in Cijfers,200,available_domains,wormerland
Zaanstad,0479,Noord-Holland,False,zaanstad,https://zaanstad.incijfers.nl/Dashboard,https://zaanstad.incijfers.nl/dashboard/zaanpeiling,Zaanpeiling - Zaanstad,200,not_dashboard,zaanstad
Zandvoort,0473,Noord-Holland,True,zandvoort,https://zandvoort.incijfers.nl/Dashboard,https://zandvoort.incijfers.nl/Dashboard,Zandvoort in Cijfers - Zandvoort,200,ok,zandvoort
Almelo,0141,Overijssel,True,almelo,https://almelo.incijfers.nl/Dashboard,https://almelo.incijfers.nl/Dashboard,Almelo in Cijfers - Almelo,200,ok,almelo
Borne,0147,Overijssel,False,borne,https://borne.incijfers.nl/Dashboard,https://borne.incijfers.nl/dashboard/login.aspx?returnUrl=%2FDashboard,Inloggen,200,not_dashboard,borne
Dalfsen,0148,Overijssel,False,dalfsen,https://dalfsen.incijfers.nl/Dashboard,https://dalfsen.incijfers.nl/dashboard/AvailableDomains.aspx,Gemeente in Cijfers,200,available_domains,dalfsen
Deventer,0150,Overijssel,False,deventer,https://deventer.incijfers.nl/Dashboard,https://deventer.incijfers.nl/mosaic/thema,Thema - Deventer,200,not_dashboard,deventer
Dinkelland,1774,Overijssel,True,dinkelland,https://dinkelland.incijfers.nl/Dashboard,https://noaberkracht.incijfers.nl/dashboard?regionlevel=gemeente&regioncode=1774,Noaberkracht Dinkelland-Tubbergen in Cijfers - Dinkelland,200,ok,dinkelland
Enschede,0153,Overijssel,True,enschede,https://enschede.incijfers.nl/Dashboard,https://enschede.incijfers.nl/Dashboard,Enschede in Cijfers - Enschede,200,ok,enschede
